DAT
63 120 0
0.00000000000000000000 0.00000000000000000000 1.00000000000000000000 
0.50000000000000000000 -0.86602539999999994524 0.00000000000000000000 
0.86602539999999994524 -0.50000000000000000000 0.00000000000000000000 
1.00000000000000000000 0.00000000000000000000 0.00000000000000000000 
0.86602539999999994524 0.00000000000000000000 0.50000000000000000000 
0.50000000000000000000 0.00000000000000000000 0.86602539999999994524 
0.25000000000000000000 -0.43301269999999997262 0.86602539999999994524 
0.43301269999999997262 -0.75000000000000000000 0.50000000000000000000 
0.43301269999999997262 -0.25000000000000000000 0.86602539999999994524 
0.75000000000000000000 -0.43301269999999997262 0.50000000000000000000 
0.00000000000000000000 1.00000000000000000000 0.00000000000000000000 
-0.50000000000000000000 0.86602539999999994524 0.00000000000000000000 
-0.86602539999999994524 0.50000000000000000000 0.00000000000000000000 
-1.00000000000000000000 0.00000000000000000000 0.00000000000000000000 
-0.50000000000000000000 0.00000000000000000000 0.86602539999999994524 
-0.25000000000000000000 0.43301269999999997262 0.86602539999999994524 
-0.43301269999999997262 0.75000000000000000000 0.50000000000000000000 
-0.43301269999999997262 0.25000000000000000000 0.86602539999999994524 
-0.75000000000000000000 0.43301269999999997262 0.50000000000000000000 
-0.86602539999999994524 0.00000000000000000000 0.50000000000000000000 
-0.86602539999999994524 -0.50000000000000000000 0.00000000000000000000 
-0.50000000000000000000 -0.86602539999999994524 0.00000000000000000000 
0.00000000000000000000 -1.00000000000000000000 0.00000000000000000000 
0.00000000000000000000 -0.86602539999999994524 0.50000000000000000000 
0.00000000000000000000 -0.50000000000000000000 0.86602539999999994524 
-0.43301269999999997262 -0.25000000000000000000 0.86602539999999994524 
-0.75000000000000000000 -0.43301269999999997262 0.50000000000000000000 
-0.25000000000000000000 -0.43301269999999997262 0.86602539999999994524 
-0.43301269999999997262 -0.75000000000000000000 0.50000000000000000000 
0.86602539999999994524 0.50000000000000000000 0.00000000000000000000 
0.50000000000000000000 0.86602539999999994524 0.00000000000000000000 
0.00000000000000000000 0.86602539999999994524 0.50000000000000000000 
0.00000000000000000000 0.50000000000000000000 0.86602539999999994524 
0.43301269999999997262 0.25000000000000000000 0.86602539999999994524 
0.75000000000000000000 0.43301269999999997262 0.50000000000000000000 
0.25000000000000000000 0.43301269999999997262 0.86602539999999994524 
0.43301269999999997262 0.75000000000000000000 0.50000000000000000000 
0.86602539999999994524 0.00000000000000000000 -0.50000000000000000000 
0.00000000000000000000 0.86602539999999994524 -0.50000000000000000000 
0.41619770000000000376 0.89253890000000002392 -0.17364820000000000255 
0.71984630000000005001 0.60402279999999997084 -0.34202009999999999357 
0.32139380000000000726 0.88302219999999997935 -0.34202009999999999357 
0.49240390000000000548 0.58682409999999995964 -0.64278760000000001451 
-0.50000000000000000000 0.00000000000000000000 -0.86602539999999994524 
0.00000000000000000000 -0.50000000000000000000 -0.86602539999999994524 
0.00000000000000000000 -0.86602539999999994524 -0.50000000000000000000 
-0.41619770000000000376 -0.89253890000000002392 -0.17364820000000000255 
-0.71984630000000005001 -0.60402279999999997084 -0.34202009999999999357 
-0.32139380000000000726 -0.88302219999999997935 -0.34202009999999999357 
-0.49240390000000000548 -0.58682409999999995964 -0.64278760000000001451 
0.00000000000000000000 0.50000000000000000000 -0.86602539999999994524 
-0.86602539999999994524 0.00000000000000000000 -0.50000000000000000000 
-0.89253890000000002392 0.41619770000000000376 -0.17364820000000000255 
-0.60402279999999997084 0.71984630000000005001 -0.34202009999999999357 
-0.88302219999999997935 0.32139380000000000726 -0.34202009999999999357 
-0.58682409999999995964 0.49240390000000000548 -0.64278760000000001451 
0.00000000000000000000 0.00000000000000000000 -1.00000000000000000000 
0.50000000000000000000 0.00000000000000000000 -0.86602539999999994524 
0.89253890000000002392 -0.41619770000000000376 -0.17364820000000000255 
0.60402279999999997084 -0.71984630000000005001 -0.34202009999999999357 
0.88302219999999997935 -0.32139380000000000726 -0.34202009999999999357 
0.58682409999999995964 -0.49240390000000000548 -0.64278760000000001451 
-0.00003236927000000000 -0.00003236927000000000 -0.00003236927000000000 
63 56 57 44 
63 57 62 45 
60 59 62 63 
48 47 50 63 
62 60 63 46 
61 59 4 63 
59 62 63 61 
60 2 59 63 
62 61 38 63 
61 38 63 4 
55 53 14 63 
55 63 56 53 
56 39 54 63 
55 52 56 63 
54 53 63 12 
56 63 54 53 
45 46 63 50 
46 49 23 63 
56 44 63 52 
44 50 63 52 
62 46 63 45 
17 32 16 63 
46 49 63 50 
50 48 63 52 
44 63 50 57 
48 52 21 63 
47 50 63 49 
48 63 21 47 
49 63 47 23 
63 43 57 51 
51 56 57 63 
60 63 46 2 
58 43 57 63 
56 63 51 39 
47 21 22 63 
54 39 12 63 
39 63 42 11 
39 42 63 43 
42 43 40 63 
53 13 63 12 
42 63 40 11 
38 41 63 30 
59 4 63 3 
58 38 43 63 
39 11 12 63 
11 31 37 63 
40 31 11 63 
11 63 37 32 
37 36 63 34 
37 36 33 63 
31 37 63 30 
36 34 1 63 
35 30 5 63 
37 30 35 63 
37 32 63 33 
36 33 63 1 
47 23 63 22 
22 29 23 63 
28 63 26 1 
28 63 29 26 
43 40 63 41 
29 63 27 26 
29 21 27 63 
52 21 63 14 
21 20 27 63 
22 63 21 29 
28 25 29 63 
26 63 15 1 
27 26 63 20 
26 15 63 20 
20 14 19 63 
21 63 14 20 
20 15 63 19 
55 52 63 14 
13 19 63 12 
19 18 63 16 
18 63 16 1 
29 24 63 25 
17 63 12 32 
19 17 16 63 
37 34 63 35 
16 32 33 63 
35 63 5 34 
40 30 31 63 
11 32 12 63 
30 4 5 63 
19 17 63 12 
4 3 10 63 
41 40 63 30 
4 5 63 10 
34 5 6 63 
38 30 63 4 
3 10 63 2 
6 1 63 9 
15 18 63 19 
9 10 7 63 
9 63 7 1 
34 1 63 6 
2 23 24 63 
2 8 63 24 
10 7 63 8 
59 2 3 63 
8 7 63 24 
24 7 63 25 
5 6 63 10 
6 10 9 63 
29 24 23 63 
7 25 1 63 
43 38 41 63 
15 63 18 1 
10 63 2 8 
62 58 63 38 
16 33 1 63 
45 50 63 57 
46 2 63 23 
53 13 14 63 
14 13 19 63 
58 57 62 63 
51 63 43 39 
28 1 25 63 
